1,ABC12011,Tomato Sauce,205,50,50,512500,570,64
2,ABC12022,Thin Soy Sauce A,225,50,50,562500,621,15
3,ABC12033,Ajinomoto,160,110,20,352000,255,99
4,ABC12044,Black Sticky Rice(happynezz),80,60,40,192000,205,89
5,ABC12055,Coconut Milk,105,65,40,273000,264,94
6,ABC12066,Ionized Refined Salt,165,100,35,577500,508,39
7,ABC12077,Caramel Sugar,200,100,60,1200000,1000,29
8,ABC12088,Chicken Powder,150,110,10,165000,168,74
9,ABC12099,Sealect Tuna,90,50,50,225000,202,84
10,ABC12110,CP (Egg box),105,102,60,642600,278,17
11,ABC12121,Ma Ma Cup Noodle,95,95,90,812250,71.5,99
12,ABC12132,Ma Ma,130,125,30,487500,100,109
13,ABC12143,Thin Noodle,120,100,30,360000,65,169
14,ABC12154,KoKoKrunch,220,160,50,1760000,224,64
15,ABC12165,Mali Condensed Milk,165,63,35,363825,186,15
16,ABC12176,Nescafe,160,150,50,1200000,410,99
17,ABC12187,Carnation Condensed Milk,105,70,70,514500,456,89
18,ABC12198,Lactasoy Milk,200,120,80,1920000,1960,94
19,ABC12209,A Tissue Row,105,100,105,1102500,88,39
20,ABC12220,Sliced Bread,130,110,105,1501500,246,29
21,ABC12231,Sunkist Pistachios,160,115,10,184000,37.5,74
22,ABC12242,Lays Potato Chips,195,130,40,1014000,50,84
23,ABC12253,Seaweed Chips,200,115,1,23000,9.2,17
24,ABC12264,Corn Snack,230,140,50,1610000,87,99
25,ABC12275,Dozo Snack,210,160,30,1008000,76,109
26,ABC12286,Nacho Cheese,160,145,50,1160000,56,169
27,ABC12297,Dutch Mill,125,50,50,312500,226,16
28,ABC12308,Meiji Milk,260,100,100,2600000,2000,19
29,ABC12319,Corn Milk,85,70,70,416500,144,127
30,ABC12330,Cup of Coffee,115,70,70,563500,221,64
31,ABC12341,Jelly Cup,85,75,75,478125,131,15
32,ABC12352,Fermented Milk,220,65,65,929500,796,99
33,ABC12363,Bulgaria Yogurt,95,45,75,320625,218,89
34,ABC12374,NSF Water Bottle,230,60,60,828000,645,94
35,ABC12385,Small Size Water Bottle,180,50,50,450000,355,39
36,ABC12396,Kato Juice,170,50,50,425000,343,29
37,ABC12407,Strawberry Juice,120,50,40,240000,227,74
38,ABC12418,L'glutathione,125,75,30,281250,161,84
39,ABC12429,Sunsnack,140,35,20,98000,14,17
40,ABC12440,Greennut,170,120,70,1428000,87,64
41,ABC12451,Birdy Coffee Cup,105,50,50,262500,204,15
42,ABC12462,M Energy Drink,135,45,45,273375,296,99
43,ABC12473,Sponsor,180,50,50,450000,412,89
44,ABC12484,Foam Tape,150,105,20,315000,25,64
45,ABC12495,Pens Bag,160,45,10,72000,22.2,15
46,ABC12506,Philips Light Bulb,100,60,55,330000,61,99
47,ABC12517,Room Fresh,90,90,60,486000,226,89
48,ABC12528,Locker,185,85,25,393125,142,94
49,ABC12539,Venus Note Book,155,115,13,231725,125,39
50,ABC12550,Venus ,300,210,5,315000,176,29
51,ABC12561,Frabric Softener,270,130,70,2457000,749,74
52,ABC12572,Washing Powder,125,125,80,1250000,923,84
53,ABC12583,ARS Mosquito Mat,130,130,25,422500,160,17
54,ABC12594,ARS Mosquito Repellent,85,70,110,654500,144,99
55,ABC12605,F&F T-shirt,200,105,20,420000,132,109
56,ABC12616,Spandex Waist,215,120,30,774000,163,169
57,ABC12627,Donae,210,75,40,630000,350,16
58,ABC12638,Parodontax,260,70,30,546000,96.7,19
59,ABC12649,Colgate,210,75,40,630000,350,127
60,ABC12660,SALZ Toothpaste,260,70,30,546000,58,58
61,ABC12671,Color Cream,95,60,28,159600,45,40
62,ABC12682,Shampoo,150,58,38,330600,170,39
63,ABC12693,L'oreal Shampoo,215,80,40,688000,386,139
64,ABC12704,Protex Men,120,90,60,648000,300,62
65,ABC12715,Citra Soap,87,63,34,186354,132,48
66,ABC12726,Olay Radiant Skin,120,60,50,360000,72,499
67,ABC12737,White Perfect Cream,80,60,57,273600,58.2,199
68,ABC12748,Acnes Clear Face Wash,135,55,32,237600,64,65
69,ABC12759,Babi Mild,103,45,37,171495,63,11
70,ABC12770,Bathing Foam,140,110,50,770000,27,23
71,ABC12781,Garnier Men,140,75,45,472500,118,133
72,ABC12792,Garnier Men Invissible ,105,44,45,207900,150,95
73,ABC12803,Baby Milk Bottle,190,55,55,574750,48,34
74,ABC12814,Mamypoko Pants,185,185,125,4278125,501,169
75,ABC12825,Ambulance Cotton,600,115,170,11730000,60,35
76,ABC12836,Plastic Cups Package,185,185,95,3251375,157,63
77,ABC12847,Zebra Spoon,135,45,40,243000,258,38
78,ABC12858,Heineken Two Bottles,165,130,65,1394250,1028,115
79,ABC12869,Pepsi,320,75,75,1800000,1485,23
80,ABC12880,Pepsi six Pack,155,130,105,2115750,1620,64
81,ABC12891,Skippy Peanut Butter,75,58,58,252300,200.5,83
82,ABC12902,Pompui,67,67,40,179560,75,27
83,ABC12913,Vejpong the Original,100,65,65,422500,49,89
84,ABC12924,Honey Bottle,250,55,55,756250,826.5,195
85,ABC12935,Rambutan in syrup,115,81,81,754515,517,78
86,ABC12946,King of Beer,170,65,65,718250,676,57
87,ABC12957,Ma Ma one dozen,250,90,160,3600000,692,53
88,ABC12968,Bualducci Spaghetti,255,75,30,573750,511.2,56
89,ABC12979,Pork saugage,145,65,10,94250,119.1,58
90,ABC12990,Najum,175,50,50,437500,416,30
91,ABC13001,Sunflower Oil,280,75,75,1575000,947.9,79
92,ABC13012,Apple,140,140,60,1176000,600.2,48
93,ABC13023,Egg Tofu,140,45,25,157500,125.3,10
94,ABC13034,Brands,65,47,47,143585,120.8,102
95,ABC13045,Candle Pack,210,120,40,1008000,498.8,75
